,Key,Value
0,adult.n.01,885
1,garment.n.01,849
2,woody_plant.n.01,623
3,external_body_part.n.01,610
4,object.n.01,519
5,structure.n.01,502
6,limb.n.01,476
7,framework.n.03,467
8,sense_organ.n.01,465
9,container.n.01,463
10,atmosphere.n.05,449
11,partition.n.01,445
12,headdress.n.01,445
13,causal_agent.n.01,411
14,extremity.n.05,363
15,rod.n.01,361
16,motor_vehicle.n.01,349
17,communication.n.02,340
18,body_covering.n.01,339
19,furniture.n.01,339
20,barrier.n.01,327
21,gramineous_plant.n.01,320
22,seat.n.03,298
23,actinic_radiation.n.01,274
24,trouser.n.01,235
25,footwear.n.02,228
26,group.n.01,225
27,formation.n.01,221
28,movable_barrier.n.01,217
29,binary_compound.n.01,216
30,vessel.n.03,215
31,horizontal_surface.n.01,213
32,chemoreceptor.n.01,198
33,artifact.n.01,197
34,plant_organ.n.01,191
35,physical_phenomenon.n.01,186
36,shade.n.01,180
37,natural_object.n.01,173
38,thoroughfare.n.01,173
39,way.n.06,171
40,flatware.n.01,169
41,woman.n.01,167
42,machine.n.04,165
43,coat.n.01,160
44,public_transport.n.01,160
45,walk.n.05,158
46,tract.n.01,158
47,representation.n.02,156
48,appendage.n.03,154
49,adornment.n.01,153
50,symbol.n.01,152
51,source_of_illumination.n.01,151
52,process.n.05,145
53,room.n.01,140
54,document.n.02,139
55,support.n.10,139
56,vertebrate_foot.n.01,137
57,device.n.01,135
58,timepiece.n.01,128
59,position.n.01,124
60,trademark.n.02,123
61,band.n.07,123
62,table.n.02,122
63,natural_elevation.n.01,121
64,board.n.03,121
65,protective_covering.n.01,120
66,view.n.02,116
67,juvenile.n.01,114
68,rima.n.01,114
69,boundary.n.01,112
70,male.n.02,110
71,line.n.11,110
72,body_part.n.01,109
73,stalk.n.02,104
74,hoop.n.02,104
75,earth.n.02,102
76,language_unit.n.01,102
77,wheeled_vehicle.n.01,100
78,geological_formation.n.01,98
79,substance.n.07,97
80,optical_instrument.n.01,97
81,body_of_water.n.01,96
82,reflector.n.01,95
83,canopy.n.03,95
84,fastener.n.02,93
85,building_complex.n.01,91
86,solid.n.01,89
87,consideration.n.01,86
88,verbal_creation.n.01,86
89,angiosperm.n.01,83
90,point.n.02,82
91,equine.n.01,81
92,building_material.n.01,80
93,lumber.n.01,79
94,space.n.03,79
95,instrumentality.n.03,79
96,movement.n.03,78
97,canine.n.02,78
98,spectacles.n.01,77
99,animal_foot.n.01,75
100,label.n.04,75
101,light.n.02,74
102,area.n.05,74
103,slab.n.01,74
104,area.n.01,74
105,hosiery.n.01,72
106,precipitation.n.03,72
107,cushion.n.03,72
108,kitchen_appliance.n.01,71
109,shoe.n.01,71
110,material.n.01,71
111,line.n.18,71
112,region.n.01,70
113,bedclothes.n.01,70
114,handwear.n.01,69
115,emblem.n.01,69
116,contestant.n.01,68
117,building.n.01,67
118,dish.n.02,67
119,floor_cover.n.01,66
120,soil.n.02,66
121,cloth_covering.n.01,65
122,overgarment.n.01,65
123,plumbing_fixture.n.01,64
124,feline.n.01,63
125,athlete.n.01,63
126,opening.n.01,63
127,electronic_equipment.n.01,62
128,plaything.n.01,61
129,baked_goods.n.01,61
130,digit.n.03,60
131,screen.n.05,60
132,creating_by_mental_acts.n.01,59
133,relation.n.01,59
134,vessel.n.02,58
135,chemical_element.n.01,58
136,implement.n.01,57
137,conveyance.n.03,57
138,ligament.n.02,56
139,bedroom_furniture.n.01,56
140,cooking_utensil.n.01,56
141,game_equipment.n.01,55
142,table_linen.n.01,55
143,plant_material.n.01,55
144,division.n.04,54
145,truck.n.01,54
146,shirt.n.01,53
147,upper_surface.n.01,53
148,herb.n.01,53
149,hair.n.01,53
150,piece_of_cloth.n.01,52
151,vertebrate.n.01,51
152,organism.n.01,51
153,covering.n.02,51
154,organ.n.01,51
155,sign.n.02,51
156,gliding_joint.n.01,49
157,heavier-than-air_craft.n.01,49
158,paved_surface.n.01,48
159,publication.n.01,48
160,physical_entity.n.01,48
161,edge.n.03,48
162,cattle.n.01,47
163,sports_implement.n.01,47
164,jewelry.n.01,47
165,broadcasting.n.02,47
166,ruminant.n.01,46
167,dairy_product.n.01,46
168,blind.n.03,46
169,leather_strip.n.01,46
170,collection.n.01,46
171,clothing.n.01,45
172,cutlery.n.02,45
173,portable_computer.n.01,45
174,writing.n.02,45
175,handle.n.01,45
176,worker.n.01,45
177,surface.n.01,44
178,woman's_clothing.n.01,44
179,edge_tool.n.01,43
180,digit.n.01,43
181,animal_skin.n.01,43
182,photographic_equipment.n.01,42
183,loop.n.02,42
184,carnivore.n.01,42
185,hinge_joint.n.01,42
186,bag.n.01,41
187,flag.n.01,40
188,machine.n.01,40
189,cord.n.01,40
190,protective_fold.n.01,40
191,mark.n.10,40
192,neckwear.n.01,40
193,light.n.14,39
194,lamp.n.01,39
195,region.n.03,39
196,assembly.n.04,39
197,vascular_plant.n.01,39
198,pachyderm.n.01,38
199,condiment.n.01,38
200,reproductive_structure.n.01,37
201,car.n.01,37
202,marking.n.02,37
203,tube.n.01,37
204,military_installation.n.01,37
205,man.n.01,37
206,runner.n.09,36
207,coating.n.01,36
208,regulator.n.01,36
209,traveler.n.01,36
210,ballplayer.n.01,35
211,gas.n.02,35
212,club.n.03,35
213,facial_hair.n.01,34
214,paper.n.01,34
215,social_group.n.01,33
216,decoration.n.01,33
217,articulator.n.02,33
218,receptacle.n.01,33
219,promotion.n.01,32
220,court.n.04,32
221,rock.n.02,32
222,swimmer.n.02,32
223,mechanical_device.n.01,32
224,waste.n.01,31
225,side.n.04,31
226,tower.n.01,31
227,noisemaker.n.01,31
228,activity.n.01,31
229,compartment.n.02,31
230,baggage.n.01,30
231,motor.n.01,30
232,baseball_equipment.n.01,30
233,neatness.n.01,30
234,path.n.02,29
235,bovid.n.01,29
236,entrance.n.01,29
237,damper.n.02,29
238,plate.n.02,29
239,series.n.01,29
240,person.n.01,28
241,produce.n.01,28
242,jar.n.01,27
243,place_of_business.n.01,27
244,part.n.01,27
245,holding_device.n.01,27
246,racket.n.04,27
247,child.n.02,26
248,covering.n.01,26
249,new_jersey.n.01,26
250,evaluation.n.02,26
251,lightning.n.01,26
252,happening.n.01,26
253,wave.n.01,26
254,food.n.02,26
255,sheet.n.06,25
256,facility.n.01,25
257,semidarkness.n.01,25
258,feature.n.02,25
259,ball.n.01,25
260,bone.n.01,25
261,writing_implement.n.01,25
262,pouch.n.01,25
263,edible_fruit.n.01,25
264,boundary.n.02,25
265,disk.n.02,25
266,part.n.02,24
267,written_communication.n.01,24
268,end.n.01,24
269,unit.n.03,24
270,inclined_plane.n.01,24
271,faucet.n.01,24
272,refrigerator.n.01,23
273,signal.n.01,23
274,sun.n.01,23
275,principle.n.01,23
276,white_goods.n.01,23
277,small_indefinite_quantity.n.01,23
278,snack_food.n.01,23
279,infielder.n.01,22
280,control.n.09,22
281,shelter.n.01,22
282,sculpture.n.01,22
283,spacing.n.02,21
284,case.n.05,21
285,bar.n.03,21
286,mercantile_establishment.n.01,21
287,expanse.n.03,21
288,glass.n.02,21
289,official.n.02,21
290,telegram.n.01,21
291,time_unit.n.01,20
292,share.n.01,20
293,lake.n.01,20
294,abstraction.n.06,20
295,projection.n.04,20
296,description.n.02,20
297,maneuver.n.04,20
298,real_property.n.01,20
299,enclosure.n.01,20
300,file.n.02,20
301,stream.n.01,20
302,rodent.n.01,20
303,bread.n.01,20
304,ellipse.n.01,19
305,mouth.n.02,19
306,paving.n.01,19
307,wagon.n.01,19
308,tree.n.01,19
309,sound.n.01,19
310,rectangle.n.01,19
311,large_indefinite_quantity.n.01,19
312,armored_vehicle.n.01,19
313,solanaceous_vegetable.n.01,19
314,businessperson.n.01,19
315,extremity.n.04,19
316,hydrant.n.02,19
317,form.n.01,19
318,computer_network.n.01,18
319,hole.n.02,18
320,finger.n.01,18
321,leaf.n.01,18
322,perceiver.n.01,18
323,line.n.01,18
324,cable.n.02,18
325,rock.n.01,18
326,slope.n.01,18
327,protective_garment.n.01,17
328,radiotelephone.n.02,17
329,court_game.n.01,17
330,design.n.04,17
331,victim.n.02,17
332,nose.n.01,17
333,press.n.02,17
334,root.n.01,17
335,people.n.01,17
336,branch.n.02,17
337,wood.n.01,17
338,box.n.01,17
339,demonstration.n.05,17
340,horny_structure.n.01,17
341,course.n.04,17
342,bottle.n.01,17
343,display.n.06,17
344,crucifer.n.01,17
345,panel.n.01,16
346,municipality.n.01,16
347,ball_game.n.01,16
348,matter.n.06,16
349,round_shape.n.01,16
350,gathering.n.01,16
351,meal.n.01,16
352,pole.n.01,16
353,top.n.10,16
354,structure.n.03,15
355,animal.n.01,15
356,celestial_body.n.01,15
357,true_pepper.n.01,15
358,set.n.01,15
359,part.n.03,15
360,lot.n.02,15
361,bulb.n.01,15
362,mixer.n.04,15
363,fabric.n.01,15
364,topping.n.01,15
365,light.n.01,15
366,large_integer.n.01,15
367,road.n.01,15
368,fence.n.01,15
369,concrete.n.01,15
370,stairs.n.01,15
371,beverage.n.01,15
372,platform.n.01,15
373,dentine.n.01,15
374,music.n.01,14
375,money.n.01,14
376,legume.n.03,14
377,fluid.n.01,14
378,armor_plate.n.01,14
379,power.n.01,14
380,vegetation.n.01,14
381,friedcake.n.01,14
382,graphic_art.n.01,14
383,animal_material.n.01,14
384,bubble.n.01,14
385,area.n.03,13
386,articulator.n.01,13
387,facial_expression.n.01,13
388,pair.n.03,13
389,consumer_goods.n.01,13
390,alcohol.n.01,13
391,flue.n.03,13
392,visual_property.n.01,13
393,cake.n.03,13
394,defender.n.01,13
395,joint.n.05,13
396,visual_signal.n.01,13
397,electro-acoustic_transducer.n.01,13
398,restraint.n.06,13
399,skater.n.01,13
400,motorcycle.n.01,13
401,access.n.03,12
402,outside.n.01,12
403,obstruction.n.01,12
404,apparatus.n.01,12
405,grassland.n.01,12
406,young_mammal.n.01,12
407,opening.n.10,12
408,helping.n.01,12
409,cap.n.01,12
410,airplane.n.01,12
411,shelf.n.01,12
412,electrical_device.n.01,12
413,naris.n.01,12
414,metallic_element.n.01,12
415,ridge.n.01,12
416,field.n.01,12
417,bunch.n.01,12
418,rotation.n.03,12
419,pot.n.01,12
420,self-propelled_vehicle.n.01,12
421,nutriment.n.01,12
422,plant_fiber.n.01,11
423,internal_organ.n.01,11
424,root_vegetable.n.01,11
425,tabletop.n.01,11
426,garnish.n.01,11
427,operator.n.02,11
428,time_period.n.01,11
429,shade.n.03,11
430,spot.n.05,11
431,noise.n.01,11
432,exhibitionist.n.02,11
433,emptying.n.01,11
434,canvas.n.01,11
435,achromatic_color.n.01,11
436,pile.n.01,10
437,footwear.n.01,10
438,disk.n.01,10
439,hairdo.n.01,10
440,metric_linear_unit.n.01,10
441,conduit.n.01,10
442,nail.n.01,10
443,thigh.n.01,10
444,aerosol.n.01,10
445,face.n.08,10
446,sweetening.n.01,10
447,terminal.n.01,10
448,representation.n.01,10
449,compound_lever.n.01,10
450,vine.n.01,10
451,ending.n.04,9
452,linear_unit.n.01,9
453,cut_of_pork.n.01,9
454,appearance.n.01,9
455,storage_space.n.01,9
456,brew.n.01,9
457,emblem.n.02,9
458,block.n.01,9
459,roll_of_tobacco.n.01,9
460,restaurant.n.01,9
461,lighting_fixture.n.01,9
462,flavorer.n.01,9
463,illustration.n.01,9
464,curve.n.01,9
465,blockage.n.02,9
466,agglomeration.n.01,9
467,meat.n.01,9
468,child.n.01,9
469,fodder.n.02,9
470,polygon.n.01,9
471,post.n.04,9
472,keeper.n.01,9
473,poultry.n.02,9
474,descent.n.03,9
475,playing_field.n.02,9
476,bun.n.01,9
477,base.n.03,9
478,signboard.n.01,9
479,common_fraction.n.01,9
480,depression.n.08,9
481,pullover.n.01,9
482,bottom.n.01,9
483,lens.n.01,8
484,day.n.01,8
485,brush.n.02,8
486,sound_recording.n.01,8
487,hand.n.08,8
488,space.n.02,8
489,path.n.04,8
490,timer.n.01,8
491,toroid.n.01,8
492,float.n.06,8
493,written_record.n.01,8
494,ovum.n.01,8
495,unpleasant_person.n.01,8
496,turner.n.08,8
497,substance.n.01,8
498,enterprise.n.02,8
499,foodstuff.n.02,8
500,knot.n.02,8
501,bryophyte.n.01,8
502,strip.n.05,8
503,tissue.n.02,7
504,car.n.02,7
505,lawman.n.01,7
506,anseriform_bird.n.01,7
507,freeze.n.01,7
508,line.n.23,7
509,name.n.01,7
510,citrus.n.01,7
511,computer.n.01,7
512,sausage.n.01,7
513,catch.n.07,7
514,wheel.n.01,7
515,pesticide.n.01,7
516,reference_point.n.01,7
517,outbuilding.n.01,7
518,undergarment.n.01,7
519,note.n.03,7
520,train.n.01,7
521,cleansing_agent.n.01,7
522,average.n.01,7
523,skidder.n.01,7
524,seat.n.04,7
525,motorboat.n.01,7
526,tableware.n.01,7
527,scenery.n.02,7
528,consequence.n.01,7
529,bowl.n.01,7
530,numeral.n.01,7
531,flower_arrangement.n.01,7
532,creating_from_raw_materials.n.01,7
533,dough.n.01,7
534,airfield.n.01,7
535,plastic_art.n.01,7
536,supply_chamber.n.01,6
537,solid.n.03,6
538,projection.n.05,6
539,watch.n.01,6
540,berry.n.01,6
541,crane.n.01,6
542,parallelogram.n.01,6
543,artist.n.01,6
544,land.n.04,6
545,undercarriage.n.01,6
546,cap.n.04,6
547,residence.n.01,6
548,property.n.02,6
549,strip.n.02,6
550,aquatic_vertebrate.n.01,6
551,jewel.n.01,6
552,attire.n.01,6
553,vegetable.n.02,6
554,towel.n.01,6
555,earth.n.01,6
556,crystal.n.01,6
557,serviceman.n.01,6
558,artwork.n.01,6
559,fruit.n.01,6
560,life_preserver.n.01,6
561,time_interval.n.01,6
562,bugle_call.n.01,6
563,dispenser.n.01,6
564,optical_device.n.01,6
565,device.n.03,6
566,food.n.01,6
567,figure.n.04,6
568,spar.n.02,6
569,measuring_instrument.n.01,6
570,cosmetic.n.01,6
571,rest.n.06,6
572,point.n.01,6
573,book.n.02,6
574,pad.n.04,6
575,agaric.n.02,6
576,religion.n.02,6
577,recess.n.04,5
578,passageway.n.01,5
579,prong.n.01,5
580,bikini.n.01,5
581,imaginary_being.n.01,5
582,pipe.n.02,5
583,parent.n.01,5
584,elite.n.01,5
585,chemical.n.01,5
586,course.n.07,5
587,picture.n.01,5
588,sweater.n.01,5
589,brightness.n.01,5
590,dirtiness.n.01,5
591,data_input_device.n.01,5
592,natural_depression.n.01,5
593,orientation.n.02,5
594,monitor.n.04,5
595,boat.n.01,5
596,bridge.n.01,5
597,hat.n.01,5
598,optical_disk.n.01,5
599,locomotion.n.02,5
600,room.n.02,5
601,legal_document.n.01,5
602,chair.n.01,5
603,grain.n.02,5
604,strap.n.01,5
605,bed_linen.n.01,5
606,tank.n.02,5
607,cord.n.03,5
608,visual_communication.n.01,5
609,creation.n.02,5
610,lock.n.01,5
611,content.n.05,5
